x1 = 2, x2 = 6, x3 = 5, x4 = 4, x5 = 3
x1 = 6, x2 = 6, x3 = 4, x4 = 3, x5 = 1
x1 = 6, x2 = 6, x3 = 5, x4 = 1, x5 = 2
x1 = 6, x2 = 6, x3 = 5, x4 = 2, x5 = 1
x1 = 7, x2 = 1, x3 = 5, x4 = 4, x5 = 3
x1 = 7, x2 = 2, x3 = 4, x4 = 4, x5 = 3
x1 = 7, x2 = 2, x3 = 5, x4 = 3, x5 = 3
x1 = 7, x2 = 2, x3 = 5, x4 = 4, x5 = 2
x1 = 7, x2 = 3, x3 = 3, x4 = 4, x5 = 3
x1 = 7, x2 = 3, x3 = 4, x4 = 3, x5 = 3
x1 = 7, x2 = 3, x3 = 4, x4 = 4, x5 = 2
x1 = 7, x2 = 3, x3 = 5, x4 = 2, x5 = 3
x1 = 7, x2 = 3, x3 = 5, x4 = 3, x5 = 2
x1 = 7, x2 = 3, x3 = 5, x4 = 4, x5 = 1
x1 = 7, x2 = 4, x3 = 2, x4 = 4, x5 = 3
x1 = 7, x2 = 4, x3 = 3, x4 = 3, x5 = 3
x1 = 7, x2 = 4, x3 = 3, x4 = 4, x5 = 2
x1 = 7, x2 = 4, x3 = 4, x4 = 2, x5 = 3
x1 = 7, x2 = 4, x3 = 4, x4 = 3, x5 = 2
x1 = 7, x2 = 4, x3 = 4, x4 = 4, x5 = 1
x1 = 7, x2 = 4, x3 = 5, x4 = 1, x5 = 3
x1 = 7, x2 = 4, x3 = 5, x4 = 2, x5 = 2
x1 = 7, x2 = 4, x3 = 5, x4 = 3, x5 = 1
x1 = 7, x2 = 5, x3 = 1, x4 = 4, x5 = 3
x1 = 7, x2 = 5, x3 = 2, x4 = 3, x5 = 3
x1 = 7, x2 = 5, x3 = 2, x4 = 4, x5 = 2
x1 = 7, x2 = 5, x3 = 3, x4 = 2, x5 = 3
x1 = 7, x2 = 5, x3 = 3, x4 = 3, x5 = 2
x1 = 7, x2 = 5, x3 = 3, x4 = 4, x5 = 1
x1 = 7, x2 = 5, x3 = 4, x4 = 1, x5 = 3
x1 = 7, x2 = 5, x3 = 4, x4 = 2, x5 = 2
x1 = 7, x2 = 5, x3 = 4, x4 = 3, x5 = 1
x1 = 7, x2 = 5, x3 = 5, x4 = 1, x5 = 2
x1 = 7, x2 = 5, x3 = 5, x4 = 2, x5 = 1
x1 = 7, x2 = 6, x3 = 1, x4 = 3, x5 = 3
x1 = 7, x2 = 6, x3 = 1, x4 = 4, x5 = 2
x1 = 7, x2 = 6, x3 = 2, x4 = 2, x5 = 3
x1 = 7, x2 = 6, x3 = 2, x4 = 3, x5 = 2
x1 = 7, x2 = 6, x3 = 2, x4 = 4, x5 = 1
x1 = 7, x2 = 6, x3 = 3, x4 = 1, x5 = 3
x1 = 7, x2 = 6, x3 = 3, x4 = 2, x5 = 2
x1 = 7, x2 = 6, x3 = 3, x4 = 3, x5 = 1
x1 = 7, x2 = 6, x3 = 4, x4 = 1, x5 = 2
x1 = 7, x2 = 6, x3 = 4, x4 = 2, x5 = 1
x1 = 7, x2 = 6, x3 = 5, x4 = 1, x5 = 1
